義項id,詞目漢字,解說,對應詞目id,對應詞目漢字
,㾀屎,器量狹小，用度過分節儉。吝嗇，不大方。,,大手面
,圓棍棍,身材胖胖的樣子。,,瘦疕疕
,勇跤,強壯有力。,,虛荏
,韌布布,肉、紙等堅韌不易斷。,,脆屑屑
,苦湯,代表因為某種原因導致、而必須承受的痛苦。,,甜頭
,當初時,當初、那時候。,,這當陣
,釉,光滑平順。,,粗
,小盤,零售商。將貨品零星出售給消費者的商人。,,大割
,小盤,零售商。將貨品零星出售給消費者的商人。,,大盤
,雞喙變鴨喙,尖利的雞嘴變成扁平的鴨嘴。喻一個人起初能言善辯，後因證據出現自知理虧，變得啞口無言。,,死鴨仔硬喙桮
,割引,按售價減除幾成賣出。,,吊懸價
,大圓,指貨幣幣值較高，具有較高的購買力。,,細圓
,笑色,淺色。,,深色
,半仿仔,不同種族的男女所生育的孩子。,,土生仔
,半仿仔,不同種族的男女所生育的孩子。,,土生囝
,慢手,慢吞吞、動作遲緩。,,緊跤緊手
,素料,泛指素食食物。,,肉食
,細漢的,小弟、手下或供人差遣的人。通常用來稱呼團體中位階較低者。,,大尾的
,無時無陣,不定時。無固定的時間。,,定時
,漚搭,壞人、惡人。,,好人
,熱底,一般指體質偏熱的人。,,冷底
,近兜,附近。,,遠兜
,內家,婆家。指女人出嫁後，丈夫的父母家。,,外家厝
,厚味,形容東西的味道又濃又重。,,無味無素
,會和,划算。,,袂和盤
,慢死趖,慢吞吞。形容動作緩慢，拖泥帶水。,,緊跤緊手
,懊嘟面,表情嚴肅，略帶怒氣且沒有笑容的臭臉。,,笑面
,花哩囉,形容色彩繁多而雜亂。,,素色
,花哩囉,形容色彩繁多而雜亂。,,素素
,輕蠓蠓,形容非常的輕。,,重篤篤
,押尾,殿後、押後。,,做前
,怪奇,奇怪、奇特、蹊蹺。,,正常
,怪奇,奇怪、奇特、蹊蹺。,,平凡
,趕狂,急忙、倉皇、慌慌張張。,,穩重
,歹星,惡人。,,好人
,坦橫生,手先生出來的橫向難產。,,安產
,親戽戽,熟似親密狀、熱絡狀。,,冷淡
,親戽戽,熟似親密狀、熱絡狀。,,冷漠
,大箍把,指身材高大。有時可以用來貶抑人空有高大的外貌卻不中用。,,幼枝骨
,散食,貧窮。缺乏錢財，生活拮据困乏。,,有錢
,出破,不該讓人知道的事情被發現或揭發。,,遮崁
,出破,不該讓人知道的事情被發現或揭發。,,掩揜
,後回,下次、下回。,,頂回
,後改,下次、下回。,,頂回
,喝聲,出聲回應、表態。對於別人的發問，出聲表示贊同與否。,,激恬恬
,喝聲,出聲回應、表態。對於別人的發問，出聲表示贊同與否。,,恬喌喌
,得定,鎮定、穩重。,,無時定
,得定,鎮定、穩重。,,無一時定
,得定,鎮定、穩重。,,無得無定
,推軟仔,柿子挑軟的吃，意指欺負弱小或專挑沒有難度、容易完成的事情做。,,拚硬仔
,實實,形容裝得滿滿、塞得滿滿的樣子。,,櫳櫳
,注心,專心、用心。,,分心
,花血,花俏豔麗。,,素色
,平正,公平、公正、無私心。,,攔孤爿
,會見眾,上得了檯面。為人行事、作品可公開受品評。,,袂看口得
,幼工,細活、細工。精密細緻的工作。,,粗工課
,有法度,有辦法、有能力。,,無辦法
,有法度,有辦法、有能力。,,無才調
,擘腹,擔心、煩惱。,,安心
,擘腹,擔心、煩惱。,,放心
,畏羞人,害羞、靦腆。,,大段
,落工,工作時間到，離開工作岡位。,,上班
,落工,工作時間到，離開工作岡位。,,起工
,理氣,合乎常理常規的行事作為。,,無理
,薄本,資本額少的小生意。,,粗本
,喝價,喊價、叫價。對物品開出價格，通常用於拍賣物品的場所。,,添價
,喝價,喊價、叫價。對物品開出價格，通常用於拍賣物品的場所。,,疊價
,喝價,討價還價。買賣時，賣方索價，買方還價，以達到各自的理想價錢。,,添價
,喝價,討價還價。買賣時，賣方索價，買方還價，以達到各自的理想價錢。,,疊價
,粗糠耳,乾耳朵。易排出乾性耳垢的耳朵。,,油耳
,粗糠耳,乾耳朵。易排出乾性耳垢的耳朵。,,澹耳
,油耳,溼耳朵。易排出溼性耳垢的耳朵。,,焦耳
,粗本,資本雄厚。,,短本
,重篤篤,非常重。,,輕bóng-bóng
,茈鳥仔,指對事物或工作尚不熟悉、缺乏經驗的新人。,,老鳥
,茈鳥仔,指無經驗的少年人。,,老鳥
,居財,命運註定有財產。留得住、守得住財富。,,落財
,居財,命運註定有財產。留得住、守得住財富。,,破財
,出腳,出人頭地、出類拔萃。喻人才能出眾，高出一般人之上。,,平凡
,外務,正式事務以外的工作。,,內務
,外務,以外出接洽客戶為主的工作。,,內務
,韌鼻,不乾脆。,,脆氣
,韌鼻,不乾脆。,,了捷
,韌鼻,不乾脆。,,斬截
,韌鼻,不乾脆。,,蔥脆
,韌鼻,不乾脆。,,脆皮
,凊面,冷漠不親切的表情。凶惡、憤怒或難看的臉色。,,笑面
,倒頭生,逆產、臀位分娩。,,安產
,素色,白色、素色、淡雅的顏色。,,花囉囉
,押尾後,殿後。走在最後面。,,做前
,押尾後,殿後。走在最後面。,,做頭前
,捙桶倒,大雨傾盆而下。,,好風日
,捽後炮,暗箭傷人。,,光明正大
,捽後炮,暗箭傷人。,,明氣
,漚翕,天氣悶熱，空氣又不流通。,,涼爽
,斷站,指做某件事或工程，因故於進行中停止或擱置。,,紲接
,緊跤,腳勤。,,慢吞吞
,飽流,漲潮。,,水洘
,飽流,漲潮。,,水退
,飽流,漲潮。,,向流
,水洘,退潮。,,水滇
,水洘,退潮。,,滇流
,水洘,退潮。,,翻流
,水洘,退潮。,,滿流
,水洘,退潮。,,南流
,鬧熱滾滾,場面非常熱鬧、人聲鼎沸的樣子。,,冷清
,鬧熱滾滾,場面非常熱鬧、人聲鼎沸的樣子。,,淒涼
,鬧熱滾滾,場面非常熱鬧、人聲鼎沸的樣子。,,蕭條
,鬧熱滾滾,場面非常熱鬧、人聲鼎沸的樣子。,,俗
,注血,輸血。將血液注到人體內。,,抽血
,大食,指食量很大。,,細食
,大食,指食量很大。,,貓仔食
,落妝,卸妝。洗除臉上的化妝。,,化妝
,落妝,卸妝。洗除臉上的化妝。,,畫妝
,慷交,慷慨好客，交遊廣闊。,,孤孀
,後半世人,下半生、下半輩子。,,頂半世人
,後半世人,下半生、下半輩子。,,前半世人
,堅風,風乾。蔬菜、肉類等物品被風吹乾，水份因減少而變得乾硬。,,上潤
,生凊風,陰風、寒風、冷風。,,燒氣
,生凊風,陰風、寒風、冷風。,,燒風
,執硬,頑固、固執。堅持己見不知變通，抵死也不改變。,,知轉頭
,成款,像樣。達到令人滿意的樣子。,,毋成款
,滑溜,光滑。,,粗柏柏
,對面風,逆風。迎面而來的風。,,順風
,光焱焱,明晃晃、光亮。,,烏lu-lu
,光焱焱,明晃晃、光亮。,,烏khâm-khâm
,煞工,下班、工作結束。,,上班
,過電,導電。指物體能夠傳導、傳送電流。,,斷電
,過電,通電。使電流通過。,,斷電
,見天,抬頭向天看。,,向頭
,見天,迷糊、漫不經心。,,兢心
,緩期,延期。延後原本所預定的期程。,,提早
,勻聊仔,慢慢地、謹慎小心地。,,緊迸迸
,勻聊仔,慢慢地、謹慎小心地。,,趕迸迸
,鈍跤鈍手,笨手笨腳。形容動作或手腳不靈活。,,緊跤緊手
,舊厝,舊家、老家。原來的家。,,新厝
,烏肉底,天生膚色黝黑。,,白肉底
,觸,違逆、辜負。違逆別人的想法或辜負他人。,,遵照
,觸,違逆、辜負。違逆別人的想法或辜負他人。,,順趁
