詞目id,義項id,詞性,解說
,,名詞,蒸籠。一種用來蒸熟米飯的桶形蒸具，一般用竹片、木片等製成。
,,名詞,犬齒。
,,名詞,小狗。
,,名詞,父母。稱謂。父親與母親。
,,名詞,母狗。
,,名詞,魚名。狗母魚科。活動於沿岸沙泥海域，有時會進入河口，因肉質較差，刺又多，常用來做成魚鬆等加工品。
,,名詞,沙鍋。用陶土和沙子燒製成的鍋子。通常用來燉東西或煎藥。
,,名詞,將視線集聚在同一處注視。
,,動詞,目光直視以表敬意。
,,名詞,東西。
,,動詞,用慢火長時間燉煮肉類。
,,名詞,用慢火長時間燉煮的肉類。
,,熟語,父親年事已高，兒子年紀尚小，彼此雙方年歲相差甚大。
,,名詞,將白飯配上一些當令的菜餚，再加上一塊用滷料燉煮過的五花肉，為臺灣常見的飯。
,,名詞,蒸籠。用來炊蒸食物的竹製或木製用具。
,,名詞,狗窩、狗欄。
,,名詞,狗洞。牆壁間可供狗出入的洞口。
,,動詞,用同音字或者符號來標明文字的音讀。
,,名詞,食物。
,,動詞,打針。源自日語「注射（ちゅうしゃ）」。
,,名詞,基督教的傳教士。
,,名詞,哺乳動物。本指狐和狸兩種動物，後多用來專指狐。狐形體像狗卻略為瘦小，毛呈赤黃色，尾巴長，遇到敵人能放出惡臭。因為生性狡猾多疑，所以多用來比喻狡詐而且作惡多端的壞人。
,,名詞,俗稱修煉成精，能幻化成人形的狐狸。常比喻作妖冶放蕩會魅惑男人的女子。
,,動詞,沏茶。用煮開的水沖泡茶葉。
,,名詞,配菜，吃飯時的下飯菜。
,,名詞,指萬事萬物最基本的道理。
,,名詞,研究物質的性質、狀態、運動等變化的學科。
,,名詞,飼養牲畜的地方。
,,動詞,用慢火把蘿蔔煮爛。
,,動詞,小心、留意。
,,動詞,蒸製米粿。
,,名詞,物品的價格。
,,動詞,用土塊堆成一個小土窯，再把柴火丟到土窯中加以燃燒，放入番薯後，再把土窯推平，利用高溫餘熱把番薯燜熟，是一種民間常見窯燒番薯的方法。
,,名詞,狗蝨、蝨子。昆蟲名。寄生在狗身上的蝨子，體型極小，會吸取狗身上的血液為生，造成身體發癢。
,,動詞,爭相辯論，不肯退讓。
,,名詞,螞蟻。昆蟲名。身體小而長，全身呈黑或褐色，腹部為卵形，頭大，有觸角和一對複眼。一般行集團社會生活，有蟻后、工蟻、兵蟻之分。
,,名詞,用來防止螞蟻爬上菜櫥的碟狀器具。四周有凹槽可裝水，櫥腳放在碟中央平高處。
,,名詞,速食麵、方便麵。一種速食食品。用熱水沖泡即可食用。
,,動詞,泡麵。
,,助詞,置於詞尾或句尾，表示狀態或加強語氣的助詞。
,,助詞,置於詞尾，用以稱呼某種身份地位的人，或特定的對象。
,,,形容詞後綴。
,,,連接修飾語與省略的被修飾語，用以表示屬性。
,,助詞,表示所有格。
,,形容詞,眼睛看不見。
,,副詞,比喻不明事理。
,,形容詞,不彎曲的。
,,形容詞,行為或性格坦白爽快。
,,副詞,一直、沒有間隔的。多用重疊。
,,動詞,平息、清楚。
,,動詞,明白、了解。
,,動詞,意識、感覺。
,,動詞,知道、明瞭。
,,名詞,舊時的職官名。
,,名詞,瓶子。
,,量詞,瓶。計算瓶子的單位。
,,名詞,公共聚落。
,,名詞,部落。
,,名詞,為工作、生活或共同目標結合成的組織、團體。
,,名詞,泛指公司行號。
,,動詞,設立神佛、祖先牌位。
,,名詞,縫隙、孔洞。
,,名詞,引申為好處、賺頭、利益。
,,名詞,引申為花樣、陷阱。
,,形容詞,沒有東西。
,,形容詞,虛無的、不切實際。
,,副詞,光、完、盡。
,,副詞,白白地、徒勞無功。
,,數詞,數字零。
,,形容詞,因相互瞭解而產生深厚友誼的。
,,副詞,手中空無一物。
,,名詞,瓶子。指的是瓶口較小，瓶頸長且窄，瓶身較大的容器。
,,名詞,沒有加以利用或空無所有的地。
,,動詞,知道死活、明白事態嚴重。
,,動詞,知道位置所在。
,,動詞,對已經得到的東西感到珍惜、滿足。
,,名詞,空的房間。
,,名詞,空閨。指丈夫不在的房間。
,,形容詞,很直，沒有轉彎。
,,副詞,不用轉彎地。
,,副詞,一直、不停地。
,,副詞,直接、乾脆。
,,動詞,事態嚴重，知道有苦可受。
,,名詞,空房間。
,,副詞,沒有轉折，不必透過人或事物的傳達。
,,動詞,直達。中間沒有停頓。
,,名詞,傷口。指身體上因受傷而破裂的地方。
,,形容詞,信口開河，說話沒有憑證。
,,形容詞,光說不練、空口說白話。指一個人好發議論卻沒有實際的行動表現。
,,形容詞,空心不實的。
,,名詞,空頭支票。簽發支票的存款戶，其銀行的存款額或約定的透支額，不敷支票所載的金額，而遭銀行退票的支票。
,,名詞,上下及左右四方，即物體存在、活動的地方。
,,名詞,無形的境界。
,,名詞,由人所形成的集合體。
,,名詞,某一階級或某些範圍的人所形成的集合體。其組合分子具有一定關係，依此關係，彼此合作以達到一定的目的。
,,擬態詞,形容筆直而長的樣子。
,,名詞,大腸的上段，在人體腹腔右邊，為食物由小腸進入大腸的門戶。
,,形容詞,空著肚子，沒有進食。
,,名詞,病名。由闌尾炎引起，蔓延到整個盲腸，就成盲腸炎。
,,形容詞,直腸子。形容人有話直說，沒有遮掩，性情直爽。
,,名詞,榫。建築或機械上用凹凸相入接合兩件材料，其中凸的部分即為榫頭，即「榫」；凹的部分為榫眼，即「空」
,,名詞,花名。莖幹上生有尖刺，葉子的形狀呈橢圓形或是倒卵形，邊緣有鋸齒，花色有紅、白、黃等許多不同的顏色。
,,動詞,知道事情的輕重緩急。
,,動詞,知道、懂得。
,,形容詞,確定的。
,,副詞,一定。
,,名詞,村落。鄉民居住聚集的地方。原指平埔族聚落，謂之「番社」(huan-siā)，今臺灣各地有許多以社為名的地名，如「東社」(tang-siā)、「西社」(sai-siā)、「社頭」(siā-thâu)、「社口」(siā-kháu)等，均與番社有關。
,,名詞,地名。在彰化縣境內，當地以蕭為大姓，所以當地有句諺語「社頭蕭了了」(Siā-thâu Siau--liáu-liáu)，表示社頭姓蕭的很多。
,,名詞,花樣、名堂。不存善意的念頭或手段。
,,形容詞,比喻有名無實或不具任何作用效力的。
,,名詞,空隙、孔穴。
,,名詞,指把柄、漏洞或錯誤。
,,動詞,利用飛機從空中對敵方目標進行襲擊。
,,動詞,緊縮、收縮。
,,副詞,姑且、將就。
,,名詞,山羌。哺乳動物。全身披褐色短毛，雄羌頭上長角，形體大小和吠聲皆與狗相似，行動隱密敏捷，常出沒在清晨和傍晚的山地密林裡，以野菜、鮮草和嫩葉為食。
,,代詞,指特定的對象。
,,名詞,手臂上半部。
,,名詞,鳥類翅膀的上肢部分。
,,名詞,合資的公司將資本平分為若干份，每一份稱為一股，可以在票券上載明。
,,量詞,計算繩線的單位。
,,量詞,計算田畦的單位。
,,名詞,人或動物的手腳。
,,量詞,計算人體或動物四肢及手指、腳趾的單位。
,,形容詞,脂肪較多。一般用來形容動物體形龐大。
,,形容詞,腴美、厚實。
,,形容詞,多脂肪的。
,,名詞,水肥。
,,名詞,植物或農地的營養劑，早期多用糞便，現代有化學合成品。
,,動詞,願意、同意。
,,動詞,確認、認同。表示意志、語意堅決。
,,名詞,動物呼吸器官之一，位於胸腔，分左右兩扇，左二葉，右三葉。
,,動詞,除草。
,,動詞,爆香。
,,名詞,顯花植物的生殖器官，多具有鮮豔的顏色和芳香的氣味。
,,形容詞,像花一樣美麗、精美。
,,形容詞,虛華不實。
,,名詞,顯花植物的生殖器官，多具有鮮豔的顏色和芳香的氣味。
,,動詞,紛亂、錯亂。
,,動詞,耍賴、胡鬧。
,,形容詞,色彩繁複的樣子。
,,形容詞,風流。
,,形容詞,模糊不清。
,,名詞,繁複的動作、行為。
,,名詞,花紋或花樣。
,,形容詞,稀的。
,,名詞,沒有實在意義的言行
,,形容詞,香氣令人愉悅的。
,,名詞,有香味的東西、食物。
,,名詞,香水。一種把香料溶在酒精裡做成的化妝品。
,,名詞,山羌。哺乳動物。全身披褐色短毛，雄羌頭上長角，形體大小和吠聲皆與狗相似，行動隱密敏捷，常出沒在清晨和傍晚的山地密林裡，以野菜、鮮草和嫩葉為食。
,,名詞,花布。印有各種圖案花樣的布料。
,,名詞,股份公司用發行股票方式組成的資本，也指合夥經營工商事業的資本或資金。
,,形容詞,嬰兒肥。形容嬰兒長得白白嫩嫩。
,,名詞,傳統戲曲腳色行當之一。大多飾演活潑或輕浮的女子，扮相豔麗，表情生動，偏重身段動作與唱工口白的表現。
,,名詞,香瓜。瓜果類。一年生蔓生草本，原產於熱帶地方的印度和非洲一帶，可以食用。因為果實帶有香氣，所以稱「芳瓜」。
,,動詞,姑且走一走。
,,名詞,多脂肪質的肉類。
,,名詞,比喻有利可圖的人、事或物。
,,,姑且餵養。早期臺灣人因為重男輕女，往往會把剛出生的女嬰取名為「罔腰」或「罔市」，與罔育、罔飼諧音，表示並不歡迎這個嬰兒，但是既然生下來了，只好姑且將她養育長大。但有時候是因為擔心小孩身體虛弱，便故意取個相反意味的小名，以保佑小孩順利成長。
,,名詞,花身雞魚、斑午魚。魚類。外型特徵為背鰭硬棘及軟條間有深刻，背鰭棘部有一大型黑斑，尾鰭上下有斜走之黑色條紋，體側有三條成弓狀之黑色縱帶，為本省沿岸漁業中重要經濟魚種之一。
,,名詞,花盆。
,,名詞,香味。芳香的氣味。
,,動詞,承認事物的價值或意義。
,,名詞,表示同意或贊成的意思。
,,名詞,持有公司股份的人。
,,動詞,合夥之意。
,,名詞,花的梗柄。
,,名詞,墨魚、烏賊。軟體動物，十隻腳，具有墨囊，在遇到敵人時，會噴出墨汁而逃跑。以貝類、甲殼類為食，是重要的經濟海產物。
,,名詞,病名。由細菌、病毒感染所引起肺臟發炎的病症，會出現發燒、發冷、咳嗽、喀痰和呼吸困難等症狀。
,,名詞,花瓶。
,,動詞,烹飪時把蔥蒜等香料爆香以引出香味。
,,形容詞,還可以，還過得去。
,,動詞,勉強過日子。
,,名詞,肩膀。
,,名詞,肩膀。
,,名詞,需要承擔的責任。
,,名詞,芥末。用芥菜子研磨成黃色細末，味道辛辣，也會有嗆鼻的情況，常作為調味料。這和用山葵磨成的ua-sá-bih不同，ua-sá-bih是綠色的，但是華語都叫芥末。
,,名詞,蓓蕾。含苞未開的花朵。
,,名詞,香料。含有香味的配料。
,,名詞,花苗、花栽子。
,,名詞,香粉。女性用來抹臉的化妝品。
,,名詞,花樣、花紋圖案。
,,名詞,花與草的合稱。
,,熟語,習慣性流產。因為先天性的染色體異常或產婦本身子宮異常等不明原因，造成多次自然流產即稱為習慣性流產，這種情形，俗稱「花袂牢枝」。
,,名詞,鬆緊帶。一種能伸縮的帶子，裡面加有類似橡皮筋等彈性的東西，使帶子能拉長又能縮回原樣。多用來做襪帶、褲帶等。
,,名詞,供插花的瓶子。
,,名詞,用來指稱裝扮漂亮，卻不具實際工作能力的人。
,,名詞,股份公司用來表示股東股權的證券。
,,名詞,香菜、胡荽。草本植物。莖直立，中空有條紋，葉為羽狀複葉，細裂有鋸齒，氣味強烈。除食用外，也可做為調味或入藥。
,,形容詞,肥胖、豐潤。
,,動詞,抽筋。肌肉發生痙攣抽痛。
,,名詞,葉菜類。葉柄肥厚，葉片皺摺，葉緣有齒狀的凹陷。莖、葉、種子都可以食用。
,,名詞,花椰菜。葉菜類。莖硬而肥大，葉寬大，基部鈍形，邊緣呈波狀。花部成肉質塊狀，可供食用。
,,動詞,姑且餵養。早期臺灣人因為重男輕女，往往會把剛出生的女嬰取名為「罔市」或「罔腰」，與罔飼、罔育諧音，表示並不歡迎這個嬰兒，但是既然生下來了，只好姑且將她養育長大。但有時候是因為擔心小孩身體虛弱，便故意取個相反意味的小名，以保佑小孩順利成長。
,,名詞,一種烹調方法。把肉下鍋，放進佐料爆香，再加入醬油、香料等調味，然後勾芡成濃汁，可以淋在麵等食物上，增添口感和風味。
,,名詞,氣管、支氣管。由喉頭到肺臟空氣出入的總管，是呼吸系統中的一個器官。
,,名詞,花圈。以鮮花或紙花紮成圓圈，用於誌慶或喪禮的弔唁。
,,名詞,瓷磚。一種質地細緻的磚。表面經塗釉處理，具有瓷器般的光澤。
,,名詞,為植物的生殖器官，花朵中心細鬚的部分。有雄蕊、雌蕊的分別。
,,名詞,花朵。
,,形容詞,形容圖案樣式或顏色雜亂無章的樣子。
,,形容詞,形容人吃東西的時候，臉上沾滿食物殘渣。
,,名詞,肩膀。
,,名詞,肺結核。病名。一種由結核桿菌所引起的慢性傳染病。病人容易疲憊，並有發燒、夜間盜汗、咳嗽、多痰等症狀，嚴重時會咯血。
,,名詞,用鮮花或人工花編成的圓環狀飾物，通常用在迎送親朋好友時，把花環套在被迎送者的身上，表示心中的敬意。
,,名詞,魚名。彈塗魚的一種，身體長而且側扁，全身暗褐色，有黑色小點。生活在淺海和河口附近，常藉著胸鰭和身體的彈力跳躍和爬行。
,,名詞,芥藍菜。葉菜類。高二十至六十公分，葉叢生於莖頂，葉柄長，葉形上尖下圓，花為白色或黃色，嫩葉可供食用，富含鈣、磷及鐵質。
,,名詞,舊時結婚時新娘子所乘坐的大紅轎子。
,,名詞,用花作裝飾的籃子。一般用來裝飾儀式場地。
,,名詞,花株。
,,名詞,植物初生的幼苗。
,,名詞,老虎。哺乳動物。貓科。全身黃褐色，具黑色條紋。性凶猛。於夜間狩獵，以鹿、羊、豬等為食。十二生肖排序第三的生肖。
,,名詞,指像老虎一般凶猛、可怕的人。含有貶義。
,,動詞,收縮、蜷曲。
,,形容詞,收縮、蜷曲的樣子。
,,形容詞,比喻形容人過度節儉、吝嗇。
,,名詞,指事物外在的一面。
,,名詞,指姑母、舅舅、姨母方面的親戚。
,,名詞,榜樣、模範。
,,動詞,宣佈，顯示。
,,動詞,發散。
,,名詞,分格或分項以列記事物的文件。
,,名詞,古代臣子呈給帝王的一種奏章。
,,動詞,輾。車子的輪子壓過。
,,動詞,成群結隊抬著人或物上街遊行，讓大眾觀看。
,,動詞,接、逢。
,,形容詞,指時間、地點、血統、關係等方面距離不遠的。
,,動詞,靠近、接近。
,,動詞,跨過、越過。
,,名詞,礦物名。金屬元素之一，質地柔軟，延展性極大，可與銀、銅等合金製成貨幣或是裝飾品。由於色澤黃澄，俗稱為黃金。
,,名詞,金屬道具材料的通稱。
,,名詞,年節、廟會等祭祀活動時為了祭拜神佛所特地準備的一種貼有金箔的粗紙，燒之以奉獻給神祇。
,,形容詞,形容物體的顏色澄黃或是閃閃發亮。
,,形容詞,金黃色的。
,,形容詞,形容眼睛明亮，或是視力好。
,,名詞,錢。
,,形容詞,珍貴的。
,,,姓。
,,形容詞,多出來的，比所需要的還多。
,,名詞,單位團體的主管或是領導人。
,,形容詞,形容時間的久遠。
,,形容詞,形容物體或空間兩端的距離較大、較遠。
,,名詞,建築物或車、船等可以開關的出入口，也指設於出入口能關閉的裝置。用於較文言的詞彙。
,,名詞,家族、門第。
,,名詞,宗派、學派。
,,名詞,人體身上的孔竅。
,,名詞,類別。
,,名詞,建築物或車、船等可以開關的出入口，也指設於出入口能關閉的裝置。
,,名詞,形狀或作用像門的物體。
,,量詞,用來計算特定事物的單位，例如功課、婚姻、火藥等。
,,,名詞前綴。可加在稱謂、姓名、一般名詞之前。
,,名詞,空氣中的水蒸氣遇冷凝結而降落的水滴。
,,名詞,空氣中的水蒸氣遇冷凝結而降落的水滴。
,,名詞,顏色名。指綠色。
,,名詞,顏色名。指藍色。
,,名詞,指竹子的外皮。
,,形容詞,年輕的。
,,名詞,長袖。
,,名詞,出產黃金的山。
,,名詞,長期被傭僱的工人。
,,名詞,大門入口。
,,名詞,稱謂。泛稱姑丈或姨丈。
,,名詞,表弟。稱謂。用來稱呼姑媽、姨媽、舅舅的兒子，而且年紀比自己小的。
,,名詞,表妹。稱謂。用來稱呼姑媽、姨媽、舅舅的女兒，而且年紀比自己還小的。
,,名詞,爺爺、祖父。稱謂。稱呼父親的父親。
,,名詞,外公。稱謂。稱呼母親的父親。
,,名詞,老公公、老爺爺。稱呼年老的男性長輩。
,,名詞,鳳頭潛鴨、澤鳧。禽鳥類。身長約四十公分，體型屬於中、小型，身體特徵有清晰的黑白兩色對比，頭頂羽冠明顯。
,,名詞,指不倒翁玩具。
,,形容詞,頭髮或皮毛捲曲。
,,名詞,骨罈、骨灰罈。用來盛裝死者骨灰或骨頭的容器。
,,名詞,房屋或其他建築物的出入口。
,,名詞,家庭的地位。
,,名詞,指國家或地方的出入口。多指海港或空港。
,,名詞,派系、派別。
,,名詞,門框。
,,動詞,制止。阻擾、阻攔。
,,名詞,空氣中的水蒸氣遇冷凝結而降落的水滴。
,,名詞,毛毛雨。
,,名詞,骨罈、骨灰罈。用來盛裝死者骨灰或骨頭的容器。
,,名詞,表哥。稱謂。用來稱呼姑母、舅父、姨母的兒子，而且年紀比自己大的。
,,名詞,黃金、金子。一種貴重金屬，因為呈現金黃色光澤而得名。延展性強，化學性穩定，可用於電力、太空等工業，也可用來製造貨幣、首飾等。
,,名詞,哥哥。稱謂。同父母所生而年紀比自己大的男性。
,,名詞,稱謂。用來稱呼姑媽、舅舅、姨媽的兒子，年紀比自己大的稱為「表兄」，比自己小的稱為「表小弟」。
,,名詞,銀樓。製售金銀珠寶首飾的商店。
,,名詞,用來展示公司貨品或是做零售生意的店面。
,,名詞,稱謂。媽媽、母親，通常用來當作「面稱」的詞彙。
,,形容詞,形容一個人到別人家做客，聊天過久，忘了要回家。
,,名詞,老虎的皮。
,,動詞,表明顯示。
,,名詞,南瓜。瓜果類。果實為扁圓或長圓形， 有黃、綠、或紅色等，可以食用。種子另有驅蟲的效用。
,,名詞,魚類。呈紡錘形，長約二十到三十公分，口小，尾鰭分叉，細刺多，善於跳躍。臺灣西南部較多，屏東地區叫「海草魚」(hái-tsháu-hî)，是臺灣地區重要的食用魚，在街市上到處有賣虱目魚作為食材的各式食品，像虱目魚粥、虱目魚湯。
,,名詞,父母眼中的寶貝兒子。
,,名詞,年紀在中年以下、少年以上的人。
,,名詞,葉菜類。多指煮熟的整片芥菜。藉著切成長條的芥菜來象徵長壽。
,,名詞,黃金的顏色。
,,名詞,對年高德劭者的敬稱。
,,名詞,基督教會裡面的一種職務稱謂。
,,名詞,基督教的其中某一教派名。
,,名詞,佛家稱呼德高望重的和尚。
,,名詞,綠色、藍色合稱青色。
,,名詞,爬蟲類動物。又名「赤尾青竹絲」。背部呈草綠色，尾部赤色，含劇毒，常棲息在草樹叢中。
,,形容詞,呆瓜、傻瓜。罵人不靈光、不精明、反應慢。
,,名詞,遮雨的外衣。
,,名詞,伯父。稱謂。父親的哥哥。
,,名詞,尊稱父輩中年紀較大的男子。
,,名詞,一種糖果，硬如鐵石，形如彈珠，大小像桔子或酸李，顏色有綠白或紅白等相間，如果不咬破，輕輕的含在嘴裡，可以含上很長一段時間。
,,名詞,舅媽。稱謂。舅舅的妻子。
,,名詞,彗星。環繞太陽運行的小質量天體。主要分為彗核、彗髮和彗尾三部分。其外貌和亮度均隨著與太陽距離的遠近而發生變化。軌道是以太陽為中心的圓錐曲線。以拋物線居多，橢圓次之，雙曲線最少。解體後轉化為小行星或流星群。
,,名詞,比喻會帶來厄運的人。
,,形容詞,形容人或事物粗俗、不入流。
,,名詞,長子。排行最大的兒子。
,,名詞,珍貴的言辭。
,,名詞,使用金箔做為裝飾而打造成的佛像。
,,形容詞,不三不四。沒什麼價值、沒什麼水準。
,,時間詞,最近。說話前後不久的日子。
,,名詞,雨天、下雨天。
,,名詞,叔叔。稱謂。爸爸的弟弟。如果是「阿叔仔」是指丈夫的弟弟。
,,名詞,父親的諱稱。
,,名詞,小叔。稱謂。稱呼丈夫的弟弟。
,,名詞,長壽、高壽。
,,名詞,稱謂。用來稱呼姑媽、舅舅、姨媽的女兒，因為年紀比自己大，所以稱為「表姊」。
,,名詞,伯母。稱謂。伯父的妻子。
,,名詞,尊稱母輩中年紀較大的女子。
,,名詞,姊姊。稱謂。同父母所生而比自己年紀大的女性。
,,名詞,姑姑、姑媽。稱謂。爸爸的姊妹。如果是「大娘姑」、「小姑仔」是指丈夫的姊妹。
,,名詞,臺灣民間故事人物。是山上的老虎精，會化身為老太婆，在夜裡拐騙小孩並吞食果腹，常被用來哄騙小孩趕快入睡。
,,名詞,爸爸。稱謂。子女對父親的稱呼。
,,名詞,指表兄弟姊妹的親屬關係。姑媽的子女，稱為「姑表」。舅舅、姨媽的子女，稱為「姨表」。
,,形容詞,失明、瞎眼。指眼睛失去視覺能力。
,,名詞,文盲。指不識字的人。
,,名詞,公子哥兒、紈褲子弟、紈褲子弟。富貴人家的子弟，浮華而不知人間疾苦。
,,名詞,紈褲子弟、公子哥兒。不事生產的有錢人家子弟。
,,形容詞,蜷曲。通常用來形容毛髮。
,,形容詞,睜大眼睛。
,,動詞,凝視、注視。目不轉睛，專注又仔細的看著。
,,名詞,姨媽。稱謂。母親的姊妹。
,,名詞,尊稱與母親同輩份的女性。
,,名詞,母親的諱稱。
,,形容詞,指因為受到驚嚇，而使得臉色發青、蒼白。
,,名詞,指年輕的歲月。
,,名詞,紅綠燈。設於十字路口的交通指揮燈。紅燈停，綠燈行，以便於管理交通，維護安全。
,,名詞,青綠色的苔蘚。
,,名詞,舊時的禮服，指男子穿的大褂。
,,名詞,指好穿的旗袍。
,,名詞,關門的橫木。
,,名詞,雨衣。遮雨的外衣。
,,名詞,東西或事務的外在層面。
,,名詞,家風。家庭的名譽。
,,熟語,本指人的臉色青綠，長牙外露。形容面貌凶惡可怕。亦可指鬼卒。
,,名詞,指紙錢、香、蠟燭，是祭拜的必備物品。
,,動詞,靠近、接近。
,,名詞,鑽石。一種硬度極高的礦石，可用來切割玻璃，光色好的則用作貴重的裝飾品。
,,名詞,稱謂。媽媽、母親，通常用來當作「面稱」的詞彙。舊時的叫法。
,,名詞,保存現金或貴重物品的保險櫃。
,,名詞,門板。
,,名詞,稱謂。對年長者的一種尊稱。
,,名詞,長條形。
,,名詞,長方形。
,,名詞,金桔、酸橘。瓜果類。果實為圓形，皮苦肉酸，加工做蜜餞、果醬或茶飲食用。
,,名詞,爸爸。稱謂。子女對父親的稱呼。舊時的叫法。
,,名詞,曾祖父母。稱謂。稱呼祖父的父母親。
,,動詞,民間在神明誕辰的那一天，會扛神轎沿途擊鼓鳴鑼，以通告民眾迎接神祇。
,,名詞,一種用金屬粉末製作而成的顏料，大多用來塗飾貴重器物或佛像。
,,名詞,門的守護神。畫或貼在門板上的神像。
,,名詞,燒給神明的紙錢稱「金紙」，燒給祖先或鬼魂的紙錢稱「銀紙」(gîn-tsuá)。金紙比銀紙大張，而金紙中間黏有方型小金箔，銀紙則黏錫箔。
,,名詞,黃耆。草本植物。根莖部分常被中醫用以入藥，有利尿、補氣等作用。
,,名詞,專門賣祭拜用的香或金紙、銀紙的店。
,,名詞,販賣草藥的商店。
,,名詞,泛指用草藥熬煮而成的飲料。清涼退火。
,,名詞,母老虎、河東獅子。用來稱呼脾氣很壞、又兇又霸道的女人。
,,名詞,草本植物。葉子細長，花形和百合相似，有橙紅或黃紅色。一般在花尚未全開時就採下來，經過日晒、蒸熟、烘乾後，便是食用的金針。
,,名詞,針灸時用來刺激穴道的長針。
,,名詞,以虎骨泡製的中藥藥酒，主要療效為止痛、鎮靜和健骨，過去曾為臺灣菸酒公賣局的產品，現在因為保育觀念不再以虎骨為藥材。
,,名詞,蕈菇類。生長在腐朽的木材上，色金黃，體細長，味道鮮美，可食用。亦可由人工培養而成。
,,名詞,老外、洋人。因為洋人的鼻子高挺，所以用「啄」(tok)來代稱洋人。有歧視意味，應避免使用。
,,名詞,西洋風俗稱結婚滿五十年為「金婚」。
,,名詞,老婦。對年長婦人的通稱。
,,名詞,由臉部的表現和身體的動作，所表現出來的喜、怒、哀、樂等的情感。
,,動詞,向前接待。
,,名詞,條狀的黃金，一般每條重五兩或十兩。
,,動詞,把思想、感情、生活經歷等內情顯露出來。
,,名詞,門環。舊式大門上所安置像鈸的東西，有環，方便拉開或關。一般在叫門時，也會用環敲門，藉著發出聲響，讓住戶知道有客人來訪。
,,名詞,入場券。進入某限制場所時，所必須持有的通行票券。
,,名詞,遙遠的路程。
,,名詞,魚類。由鯽魚經過不斷的人工選種、配種、淘汰而成。特徵為凸眼、體形略呈圓球形，顏色鮮豔，鱗片有金光，鰭大，尾部分三分或四分，多作為觀賞用。
,,名詞,遮雨用的傘，現在大多用塑膠布製成。
,,名詞,爬蟲類動物。體色黑白相間，極為分明，頭部為橢圓形，背鱗為十五縱列，是臺灣所產陸生毒蛇中毒性最強者之一。
,,名詞,金橘、金柑。瓜果類。因果實色金黃、形圓而長似棗而稱之。皮甜肉酸，常加工做蜜餞、果醬或茶飲，亦可連皮直接食用。宜蘭為主要產地，常加工做成各種食品，如「金棗糕」。
,,名詞,長度。
,,名詞,是非。事理的對與錯。
,,形容詞,有長有短、長短不一。
,,名詞,"異議。抱怨的話。源於民間笑譚的一句俚諺：「三人共五目，日後無長短跤話。」(sann lâng kāng gōo ba̍k, ji̍t-āu bô tn̂g-té-kha uē.)相傳有一位媒婆，撮合一位跛腳青年與單眼失明的女子，經過巧妙設計相親方式，兩人皆只看到對方優點，未見缺陷，彼此有意結緣，媒婆乃向雙方言明此語，意思是話說前頭，大家心甘情願，以後不得有抱怨的話。"
,,名詞,泛指綠色或其他蔬菜。
,,名詞,醫學上指由於眼球的前後徑過長，使得焦點落於視網膜之前，造成影像模糊不清。目前還沒有完全抑止的方法，可配戴眼鏡矯正。
,,名詞,醫生在醫院或診所中為病人看病。
,,動詞,學業或品德上有進步。
,,名詞,奶奶、祖母。稱謂。稱呼父親的母親。
,,名詞,外婆。稱謂。稱呼母親的母親。
,,名詞,老婆婆。稱呼年老的女性長輩。
,,名詞,嫂嫂。稱謂。哥哥的妻子。
,,熟語,喜新厭舊。喜歡新的，厭棄舊的。大多形容人對愛情不專一。
,,形容詞,長壽、長命、高壽。
,,形容詞,光亮滑潤。
,,名詞,舅舅、舅父。稱謂。對母親的兄弟的稱呼。
,,名詞,門口。
,,名詞,管道、途徑。
,,名詞,用來焚化冥紙的鐵製容器。
,,形容詞,長命、高壽。壽命很長。
,,名詞,雨衣。
,,名詞,原指中國以前的科舉時代，讀書人參加金殿面試之後，揭曉成績用的榜單。現在通常用來指學生或考生參加考試後，公布錄取的榜單。
,,動詞,把戲劇的情節內容或特殊的技藝公開表現出來，供人觀賞或學習。
,,名詞,以黃金打成的薄片或塗上金粉的紙片。多用以貼飾佛像或各種器物。
,,形容詞,鮮綠、翠綠的顏色。
,,名詞,用來指嗅覺很靈敏的人。
,,形容詞,節儉、節約、儉省。
,,熟語,住在廟宇附近，而對廟內神明心存輕視不敬的態度。引申為對身旁的人表現出輕忽、漠視的態度。
,,熟語,突如其來。形容出乎意料的突然來到或發生。
,,名詞,草本植物。為裂脣屬多年生草本地生蘭，葉子的背面呈酒紅色，葉面則為墨綠色，表面有金黃色的網脈條紋相連，所以取名為「金線蓮」。經農委會研究後發現，金線蓮具有抗癌、抗氧化、抗菌、預防動脈硬化等藥效。
,,名詞,輩分高、年紀長的人。
,,動詞,迎神賽會時，成群結隊的人抬著神像上街遊行。通常都是人潮洶湧，場面十分熱鬧。
,,動詞,阻止。阻擾，抵擋。
,,動詞,提燈遊行。
,,名詞,指姑媽、舅媽、姨媽方面的親戚。
,,名詞,血緣較近的親屬。
,,名詞,細雨。小雨。
,,名詞,老虎鉗、虎頭鉗。用來夾斷鐵絲、拔起釘子的鐵製工具。
,,名詞,瓜果類。以柚子或桔子的母株當枮木，再嫁接上柑橘，一株僅可產數十顆，體型大，圓周約有五、六十公分。以前的虎頭柑因為既酸又澀，多半在年節拜拜的時候做觀賞用，就是「金玉其外，敗絮其中」的情況。改良過後的虎頭柑，則香甜多汁，產量也大為增加。
